image,PSNR,SSIM,NCC,LMSE
ib-5-m-13,20.447105982121688,0.8380967372021639,0.9105551,0.006325904
ib-5-m-16,19.87012832050463,0.81198602535608,0.8930235,0.0077414257
ib-5-m-19,18.860901609488845,0.7615469265900529,0.8537126,0.012111802
ib-5-m-22,18.38473651380117,0.7439935240580078,0.84069383,0.013478322
ib-5-m-27,18.019943997470246,0.719085990128484,0.82056075,0.01663242
ib-5-m-32,18.107929486705782,0.6952185779968891,0.82609075,0.017556284
ie-10-m-3,22.42149735886473,0.8651841070590547,0.9230869,0.0052229436
ie-3-m-32,22.32753197107662,0.8691690801790303,0.9200584,0.004842602
ie-5-m-11,23.088113286069134,0.9290066134611422,0.9496756,0.0041686604
ie-5-m-13,23.152978240973212,0.9220519394349247,0.94887984,0.004408646
ie-5-m-16,23.024013704562634,0.9102277243115631,0.9451828,0.0045154155
ie-5-m-19,22.483720883889827,0.8922513869635122,0.9360298,0.0052645346
ie-5-m-22,22.435911858825595,0.8848562315936371,0.9299282,0.0051464676
ie-5-m-27,22.828117931181808,0.8778734169291716,0.9254015,0.005012799
ie-5-m-32,22.67397774320788,0.8735681758550348,0.92566913,0.004645291
ih-10-m-3,23.137945058278806,0.914955867122022,0.9281193,0.0045981905
ih-3-m-32,23.387846254509366,0.92086052122358,0.937362,0.004247628
ih-5-m-11,23.588680716359054,0.9257728331823339,0.9501902,0.002612069
ih-5-m-13,23.39330926546138,0.9164027281420931,0.9464392,0.0027446132
ih-5-m-16,23.02310168332069,0.9081806286113302,0.94214267,0.002934164
ih-5-m-19,23.076592639847615,0.9042129096777556,0.9407346,0.0029305364
ih-5-m-22,22.95844699985967,0.9007252817125782,0.93957275,0.0029306922
ih-5-m-27,23.1438643271707,0.8968373247367288,0.9422336,0.0029283806
ih-5-m-32,22.89673102257787,0.9134940698150986,0.924923,0.004783197
