image,PSNR,SSIM,NCC,LMSE
20-Thick-3-m,20.97552231541452,0.8943340405518926,0.9828646,0.0019011048
20-Thick-5-m,21.193709986389205,0.8956282302582177,0.9836888,0.0020196058
3-Focus-11-m,23.734404656685438,0.8931409794534496,0.9888603,0.0023277088
3-Focus-13-m,23.95530811799362,0.8936860375218642,0.9895886,0.002292745
3-Focus-16-m,23.645102040028487,0.8918407381131,0.98915094,0.002337879
3-Focus-19-m,24.299864575680534,0.8928193978602669,0.9898488,0.002332304
3-Focus-22-m,24.033073653031853,0.892994582109888,0.9897635,0.002282672
3-Focus-27-m,23.331211542820608,0.8872054083554343,0.98832625,0.0024858601
3-Focus-32-m,24.11887996513244,0.8916604882307361,0.9900246,0.0023529425
3-Thick-10-m,23.433859342040297,0.8839506041953822,0.9876429,0.0026396865
3-Thick-3-m,23.741137008482713,0.876677267508256,0.9876096,0.0028272062
3-Thick-5-m,24.11887996513244,0.8916604882307361,0.9900246,0.0023529425
4-Focus-11-m,25.826706964335852,0.9435806681248403,0.9892589,0.002529794
4-Focus-13-m,26.172017551825846,0.945710118607364,0.9910968,0.002428221
4-Focus-16-m,25.95862848299834,0.9469024116701289,0.9911103,0.0023698937
4-Focus-19-m,26.37193825277754,0.945962459151695,0.99120086,0.0024792491
4-Focus-22-m,25.859132292023265,0.9449137925967716,0.99094975,0.0024737867
4-Focus-27-m,25.692056946579715,0.9457878578926565,0.99061346,0.0024946777
4-Focus-32-m,26.21216056898768,0.9464411304719524,0.99097323,0.0024631808
4-Thick-10-m,26.30806503935736,0.9472919353499335,0.9909067,0.002349126
4-Thick-3-m,26.710942753801145,0.9478890322548565,0.991104,0.0023077321
4-Thick-5-m,26.21216056898768,0.9464411304719524,0.99097323,0.0024631808
5-Focus-11-m,24.518190352319454,0.9484523513380219,0.9897904,0.0010591361
5-Focus-13-m,24.744809548306204,0.9462087897000244,0.99047047,0.0011024084
5-Focus-16-m,24.284494729444322,0.9446964248917963,0.9895169,0.0011164356
5-Focus-19-m,24.984275412696473,0.9436622671047635,0.9907627,0.0011484199
5-Focus-22-m,24.662610143640737,0.9418616723088385,0.9903945,0.0011267964
5-Focus-27-m,23.89458274236021,0.9359946664781665,0.98944205,0.0012101928
5-Focus-32-m,24.683121415748843,0.9379752128262943,0.99037844,0.0012275724
5-Thick-10-m,24.080511828949682,0.9301973839086344,0.988521,0.001389167
5-Thick-3-m,24.439668691580547,0.9306894874300485,0.9892444,0.0014021768
5-Thick-5-m,24.683121415748843,0.9379752128262943,0.99037844,0.0012275724
6-Focus-11-m,29.758706378237093,0.9446811300176661,0.99334824,0.0019342972
6-Focus-13-m,29.730899354818018,0.9410544364379386,0.99312454,0.002056843
6-Focus-16-m,29.590736441720555,0.9413622557507465,0.9931829,0.001994405
6-Focus-19-m,29.807311496651323,0.936664146146169,0.9929787,0.002136913
6-Focus-22-m,29.28354877480679,0.934477484015335,0.9925705,0.0020694332
6-Focus-27-m,29.11875504000115,0.9317906548886467,0.99248844,0.002201138
6-Focus-32-m,29.730114943618474,0.9330727849299617,0.992848,0.0020498622
6-Thick-10-m,29.957624900090366,0.9330125030347438,0.9928316,0.00213378
6-Thick-3-m,29.318296709542533,0.9339486976979359,0.99206644,0.0022215412
6-Thick-5-m,29.734419071060188,0.9330661268049827,0.9928496,0.002048336
7-Focus-11-m,21.353748403037645,0.8382026325965394,0.96357065,0.0045375037
7-Focus-13-m,21.600232128075515,0.8392853187517672,0.9650459,0.0044696233
7-Focus-16-m,21.207249090250226,0.8363811335830388,0.9637114,0.0047292723
7-Focus-19-m,21.824442055324848,0.8387189707923844,0.9665724,0.0045441496
7-Focus-22-m,21.364659568456677,0.8373526887143523,0.96394545,0.004806426
7-Focus-27-m,20.97666606001637,0.8335301027880296,0.96201044,0.00499059
7-Focus-32-m,21.62895161108871,0.8396072086841232,0.96493953,0.0046777395
7-Thick-10-m,22.029104352735057,0.8289211197791454,0.9712663,0.0049596913
7-Thick-3-m,22.32347526805981,0.8427081824500647,0.96774054,0.0039919876
7-Thick-5-m,21.62671964830795,0.8393666420330431,0.9649155,0.0046804235
8-Focus-11-m,23.638182911770144,0.864036532637901,0.98327726,0.008230761
8-Focus-13-m,23.861283273399525,0.8596250884634955,0.9842569,0.00784594
8-Focus-16-m,23.425748979637486,0.8519881216430916,0.9829073,0.008150514
8-Focus-19-m,22.373295083428612,0.8175032294883389,0.9821404,0.009392932
8-Focus-22-m,21.74588057754855,0.8010626505999007,0.979328,0.01017231
8-Focus-27-m,20.792208123475785,0.7851735838947285,0.97639585,0.011126748
8-Focus-32-m,21.122930635872827,0.782883829973696,0.9791238,0.010943462
8-Thick-10-m,21.333122431105433,0.7777793395665743,0.97691107,0.010592244
8-Thick-3-m,21.460843325560774,0.7877266083511113,0.9761207,0.010994465
8-Thick-5-m,21.02599714518171,0.7798273548076856,0.97930014,0.011076136
9-Focus-11-m,28.782208685536393,0.9137480385559559,0.995845,0.0024104642
9-Focus-13-m,29.04907906912941,0.9107575865168102,0.995923,0.0024910765
9-Focus-16-m,28.81322920111877,0.9101787869633853,0.9959504,0.002472995
9-Focus-19-m,29.28008946034581,0.911428053755127,0.99579865,0.0025346898
9-Focus-22-m,28.201879961508283,0.9154046993690841,0.9950949,0.0024833295
9-Focus-27-m,28.26224546952572,0.9067315385807303,0.99570376,0.0026494933
9-Focus-32-m,29.25871124021248,0.9156090222976386,0.9955792,0.002463774
9-Thick-10-m,29.482779681784915,0.9171743496701139,0.9957023,0.0021640395
9-Thick-3-m,29.64121975742844,0.9126593001041176,0.99580455,0.002358225
9-Thick-5-m,29.262152232437945,0.9153100657560254,0.995549,0.0024665988
