image,pred_path,gt_path,width,height,PSNR,SSIM,NCC,LMSE
pair1,/localhome/xumx/dip_pj/ERRNet/results/reflection_pairs_tight_eval/Baseline/pair1/rpt_gpu_baseline.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/reflection_pairs_tight_eval/testdata_CEILNET_table2/transmission_layer/pair1.png,807,791,18.31915939091444,0.4879602679766173,0.8416053271754823,0.0821541757783308
pair2,/localhome/xumx/dip_pj/ERRNet/results/reflection_pairs_tight_eval/Baseline/pair2/rpt_gpu_baseline.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/reflection_pairs_tight_eval/testdata_CEILNET_table2/transmission_layer/pair2.png,808,811,16.11351346350264,0.6214553599007758,0.8630544452641152,0.03399144564397987
pair3,/localhome/xumx/dip_pj/ERRNet/results/reflection_pairs_tight_eval/Baseline/pair3/rpt_gpu_baseline.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/reflection_pairs_tight_eval/testdata_CEILNET_table2/transmission_layer/pair3.png,814,798,18.65637034646216,0.5300242332245392,0.402058875841793,0.24913800612058126
pair4,/localhome/xumx/dip_pj/ERRNet/results/reflection_pairs_tight_eval/Baseline/pair4/rpt_gpu_baseline.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/reflection_pairs_tight_eval/testdata_CEILNET_table2/transmission_layer/pair4.png,804,798,15.421666508552779,0.370803271351195,0.6104071789257083,0.0961534484657688
pair5,/localhome/xumx/dip_pj/ERRNet/results/reflection_pairs_tight_eval/Baseline/pair5/rpt_gpu_baseline.png,/localhome/xumx/dip_pj/ERRNet/datasets/processed_data/reflection_pairs_tight_eval/testdata_CEILNET_table2/transmission_layer/pair5.png,830,822,17.407935720706394,0.4580160275749239,0.8365213372181282,0.06433698097926578
