image,PSNR,SSIM,NCC,LMSE
89,20.86122398927019,0.8969765888801272,0.8789037,0.00481766
58,38.230935825152635,0.966798693662489,0.99742955,0.0009909279
9,23.29952301767761,0.8743582563988238,0.95906836,0.0074935076
29,29.210579945167762,0.9179296574116704,0.9836766,0.012746861
15,17.112422856459208,0.6587043964940408,0.3155221,0.027706295
103,17.848634375674337,0.8447205280336965,0.8999684,0.01673025
12,19.400726614040412,0.8264661412842008,0.9351164,0.017405087
107,26.368713781005898,0.9088338836973198,0.9243523,0.019777171
39,31.464439400703338,0.9075742368347681,0.9888412,0.009732562
110,19.343553643142045,0.5403932813736607,0.870783,0.06575011
22,19.177413486034055,0.7453287234070199,0.87148404,0.020332556
23,19.413003223993503,0.6775965343675282,0.8036777,0.052520327
25,23.978253412244587,0.7835866710599065,0.9424349,0.029650314
4,22.638960255231183,0.8033477356427765,0.8782019,0.02839918
93,22.08005043784073,0.8617355521431395,0.94769377,0.010542324
87,17.18725036678871,0.772849370453719,0.9094719,0.011023765
86,17.48539898756807,0.6312973181655323,0.77847475,0.04454918
3,24.54875384368492,0.8897865036172018,0.9528853,0.013395954
47,24.585463545178907,0.9062632964573533,0.95911163,0.00300049
46,26.97524040666771,0.9309551605545244,0.96660227,0.0044590044
